Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
tudublin.arrow,ARROW@TU Dublin (tudublin.arrow),0.07,0.28,0.06,0.02,0.08
repod.mxrdr,Macromolecular Xtallography Raw Data Repository (repod.mxrdr),0.06,0.23,0.01,0.00,0.08
ardcx.acu,Australian Catholic University (ardcx.acu),0.08,0.12,0.15,0.09,0.08
snd.icos,ICOS Carbon Portal (snd.icos),0.10,0.18,0.03,0.06,0.08
delft.uva,Universiteit van Amsterdam (delft.uva),0.09,0.20,0.02,0.00,0.08
cdl.ucsc,UC Santa Cruz (cdl.ucsc),0.14,0.16,0.02,0.00,0.08
bl.essex,University of Essex (bl.essex),0.12,0.21,0.14,0.09,0.08
inist.aeris,AERIS -  Pôle français de données et services pour l'atmosphère (inist.aeris),0.13,0.08,0.09,0.03,0.08
gesis.ubma,UBMA (gesis.ubma),0.13,0.15,0.06,0.10,0.08
crui.imtlucca,Lucca IMT (crui.imtlucca),0.05,0.32,0.06,0.01,0.08
tib.gsi,GSI Helmholtzzentrum für Schwerionenforschung GmbH (tib.gsi),0.06,0.11,0.05,0.10,0.08
nzcu.ucrr,UC Research Repository (nzcu.ucrr),0.08,0.10,0.11,0.02,0.08
datacite.rda,Research Data Alliance (datacite.rda),0.16,0.30,0.10,0.10,0.08
inist.omp,Observatoire Midi-Pyrénées (inist.omp),0.08,0.09,0.12,0.13,0.08
tib.pku,Peking University Library (tib.pku),0.18,0.06,0.05,0.00,0.08
nrc.cadc,Canadian Astronomy Data Centre (nrc.cadc),0.08,0.03,0.09,0.30,0.08
ifot.oeznap,OJS (ifot.oeznap),0.11,0.10,0.08,0.01,0.08
gesis.iqb,Forschungsdatenzentrum am IQB (gesis.iqb),0.11,0.11,0.07,0.11,0.08
climsc.csc,Climate Adaptation Science Centers (climsc.csc),0.08,0.20,0.00,0.00,0.08
dias.dias,Repository for Data Integration and Analysis System (dias.dias),0.18,0.00,0.08,0.08,0.07
tdl.digitalrocks,Digital Porous Media Portal (DPMP) (tdl.digitalrocks),0.13,0.13,0.14,0.07,0.07
bl.ed,University of Edinburgh (bl.ed),0.09,0.05,0.17,0.01,0.07
ethz.marvel,NCCR MARVEL (ethz.marvel),0.04,0.18,0.02,0.10,0.07
bl.aber,Aberystwyth Research Portal (bl.aber),0.11,0.19,0.14,0.17,0.07
subgoe.idiom,Textdatenbank und Wörterbuch des Klassischen Maya (subgoe.idiom),0.07,0.24,0.03,0.05,0.07
anu.repo,The Australian National University (anu.repo),0.14,0.06,0.14,0.01,0.07
mtakik.ppke,Pázmány Péter Katolikus Egyetem (mtakik.ppke),0.02,0.18,0.06,0.00,0.07
tib.ubs,Universitätsbibliothek Stuttgart (tib.ubs),0.07,0.10,0.11,0.08,0.07
tib.fraunirb,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V (tib.fraunirb),0.12,0.13,0.06,0.04,0.07
bl.soton,University of Southampton Repository (bl.soton),0.10,0.18,0.05,0.09,0.07
tib.insci,Infinite Science GmbH (tib.insci),0.13,0.05,0.16,0.09,0.07
umbc.canadensys,Canadensys (umbc.canadensys),0.08,0.13,0.01,0.28,0.07
