Repository Name,Repository_ID
UCN UC Viden,egzz.ucn-ucviden
"Royal Danish Academy - Architecture, Design and Conservation",myir.bclebd
DeIC,todn.ihzsnc
DTU HPC,todn.bwnmtu
AU Library,krit.xggwoo
Research Computing,todn.jjgczf
TU Delft Research Repository,delft.tudelft
TU/e Repository,delft.tue
European VLBI Network Data Archive,xknl.nuukqv
Universiteitsbibliotheek EUR,delft.eur
Universiteit van Amsterdam,delft.uva
IOC of UNESCO (Intergovernmental Oceanographic Commission),delft.ioc
RIVM - Rijksinstituut voor Volksgezondheid en Milieu,delft.rivm
BK Books,delft.tudarch
Repository Sociaal en Cultureel Planbureau,hilo.cfkgsh
CIRED,delft.cired
CD2 Catalogue,pzax.iuzflx
Radboud Data Repository,delft.ru
SURF Data Repository,delft.surfsara
Vlaams Instituut voor de Zee,delft.vliz
GreyNet International,delft.greynet
LISS Data Archive,jfch.ysnboe
Utrecht University - Yoda,delft.uu
IHE Delft Repository,kuuu.xsigew
"Tilburg University, Library & IT Services",delft.lis
SURFsharekit,mkka.rawsxe
Royal Belgian Institute for Space Aeronomy,delft.bira
FH - Publications,fatj.ngeahg
Hogeschool van Amsterdam,delft.hva
Royal Observatory of Belgium,delft.rob
Royal Belgian Institute of Natural Sciences,delft.rbins
ScienceWorks,delft.science
Rijksuniversiteit Groningen,delft.rug
Sciensano,delft.sciensano
VU Yoda,delft.vudata
VLIZ - Publications,qfof.krfggx
Leiden Repository,vioj.dxnjnk
ISRIC - World Soil Information,delft.isric
TU/e Journal,pixn.isfewa
KNMI Data Platform,delft.knmi
Centraal Planbureau,delft.cpb
MAASTRO Clinic,delft.maastro
Open Universiteit research portal,gmyj.kaowau
VU Research Portal,yajd.tkscoo
biodiversity.aq,mlbs.skuxgs
Yoda@WUR,fuyx.fxkjdy
EHRI Publication Repository,lzdh.rswigo
FH - Datasets,fatj.iwymve
UMCU Data Catalogue,aygm.wpnqct
KNAW repository,yrjy.zrpmgm
Nikhef data repository,lbyv.ylchcl
Yoda Portal Leiden University,vioj.mcaazz
euroCRIS Repository,delft.ecris
TNO Repository,qyec.whbqql
The Global Groundwater Information System (GGIS),nsqb.vqnqmj
NIOO,yrjy.bykwsf
NIOD,yrjy.vbhwhj
Faculty of Civil Engineering and Geosciences,lmbt.afbuki
UC Research Repository,nzcu.ucrr
University of Auckland Data Repository,nzau.data
Landcare Research Data Repository,landcare.general
Journals@Lincoln,lincoln.journals
ESNZ Library Repository,esnz.library
ESR Data and information Repository,esr.research
Land Resource Information Systems Portal,landcare.soils
Lincoln University,figshare.lincoln
Aotearoa Genomic Data Repository,nesi.agdr
Plant Names Database,landcare.plants
